#BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1   0.0567412   0.0567412           0
           2   0.0560324   0.0563868 0.000250599
           3   0.0540188   0.0555975  0.00066579
           4   0.0566264   0.0558547 0.000546781
           5   0.0568756   0.0560589 0.000474017
           6   0.0551856   0.0559133  0.00041676
           7   0.0675144   0.0575706  0.00157539
           8   0.0612384   0.0580291  0.00144364
           9   0.0558848   0.0577908  0.00130275
          10    0.064004   0.0584122   0.0013123
          11   0.0484564   0.0575071  0.00147239
          12   0.0653272   0.0581588  0.00148693
          13   0.0524404   0.0577189  0.00143614
          14   0.0604656   0.0579151  0.00134689
          15   0.0595684   0.0580253   0.0012616
          16   0.0615804   0.0582475  0.00120216
          17   0.0601716   0.0583607  0.00113676
          18   0.0587256    0.058381  0.00107379
          19    0.062896   0.0586186  0.00104323
          20   0.0636864    0.058872  0.00102138
