#BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1   0.0569296   0.0569296           0
           2   0.0560664    0.056498 0.000305187
           3   0.0609688   0.0579883  0.00123369
           4   0.0641648   0.0595324  0.00162616
           5   0.0571656    0.059059  0.00136809
           6    0.055918   0.0585355  0.00123618
           7   0.0622772   0.0590701  0.00116945
           8   0.0585252   0.0590019  0.00102525
           9   0.0587108   0.0589696 0.000911845
          10   0.0657124   0.0596439  0.00104052
          11   0.0626064   0.0599132 0.000980158
          12   0.0565024    0.059629 0.000938786
          13   0.0545136   0.0592355 0.000945447
          14     0.06007   0.0592951 0.000879792
          15   0.0580504   0.0592121 0.000825044
          16   0.0650456   0.0595767 0.000850229
          17   0.0603772   0.0596238 0.000801518
          18   0.0626768   0.0597934 0.000774728
          19   0.0578052   0.0596888 0.000740986
          20   0.0583136     0.05962 0.000707119
