#BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.190338    0.190338           0
           2    0.208122     0.19923  0.00628745
           3     0.20718     0.20188  0.00471722
           4    0.190628    0.199067  0.00429553
           5    0.198214    0.198896  0.00343981
           6    0.194998    0.198247  0.00292723
           7    0.215905    0.200769  0.00342778
           8    0.186402    0.198973  0.00343773
           9     0.21255    0.200482  0.00337051
          10     0.19556     0.19999  0.00306918
          11    0.179843    0.198158  0.00329159
          12    0.199984     0.19831  0.00302081
          13    0.182668    0.197107  0.00301859
          14    0.192472    0.196776  0.00282107
          15    0.186907    0.196118  0.00270864
          16    0.191086    0.195803  0.00255755
          17    0.190484    0.195491  0.00242617
          18    0.197884    0.195624  0.00229503
          19    0.193723    0.195523  0.00217641
          20    0.221784    0.196836  0.00243161
