#BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.935537   -0.935537           0
           2   -0.935133   -0.935335 0.000142836
           3   -0.934017   -0.934895 0.000371138
           4    -0.93566   -0.935087 0.000323851
           5   -0.933888   -0.934847 0.000336297
           6   -0.933166   -0.934567 0.000379436
           7   -0.937512   -0.934987 0.000507468
           8   -0.934938   -0.934981 0.000444073
           9   -0.933562   -0.934823 0.000421816
          10   -0.936805   -0.935022 0.000423619
          11   -0.934805   -0.935002 0.000385566
          12   -0.936309   -0.935111 0.000368497
          13   -0.934478   -0.935062 0.000343347
          14   -0.936763   -0.935184 0.000339641
          15   -0.936175    -0.93525 0.000323367
          16   -0.935794   -0.935284 0.000304943
          17   -0.933785   -0.935196 0.000299482
          18   -0.935217   -0.935197 0.000282847
          19   -0.935185   -0.935196 0.000267961
          20   -0.935285   -0.935201 0.000254599
