#BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.425309    0.425309           0
           2    0.410256    0.417783  0.00532184
           3    0.414126    0.416564  0.00368485
           4    0.424811    0.418625  0.00329025
           5    0.429763    0.420853  0.00330117
           6    0.424397    0.421444  0.00280333
           7    0.416945    0.420801  0.00247543
           8    0.431961    0.422196  0.00252868
           9    0.419452    0.421891  0.00226603
          10    0.421062    0.421808  0.00204094
          11    0.422234    0.421847  0.00185577
          12    0.420303    0.421718  0.00170557
          13    0.415561    0.421244  0.00163881
          14    0.429274    0.421818    0.001619
          15     0.41791    0.421557  0.00153188
          16    0.430908    0.422142  0.00154359
          17    0.418862    0.421949  0.00146481
          18    0.427725     0.42227  0.00141814
          19    0.422562    0.422285  0.00134358
          20    0.418557    0.422099  0.00128927
