#BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     44.7293     44.7293           0
           2     44.0795     44.4044    0.229743
           3     42.8818     43.8968    0.441806
           4      44.693     44.0959    0.373513
           5      43.429     43.9625    0.321745
           6     42.8612      43.779    0.316177
           7     45.8374      44.073     0.38414
           8     44.4003     44.1139    0.338293
           9     42.7541     43.9628    0.332739
          10     44.7951     44.0461      0.3097
          11     43.6326     44.0085    0.283816
          12     45.3711      44.122    0.281966
          13     43.4782     44.0725     0.26459
          14     45.8394     44.1987    0.274143
          15     44.2498     44.2021    0.255888
          16     45.1603      44.262    0.246804
          17     43.1969     44.1993    0.240107
          18     44.4498     44.2133    0.227171
          19     44.2563     44.2155    0.215226
          20     44.7263     44.2411    0.205974
