#BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1   0.0337344   0.0337344           0
           2   0.0323752   0.0330548  0.00048055
           3   0.0366784   0.0342627  0.00103695
           4   0.0357284   0.0346291 0.000839964
           5    0.036098   0.0349229  0.00072152
           6   0.0336932   0.0347179 0.000629702
           7    0.032988   0.0344708 0.000586237
           8   0.0338952   0.0343989 0.000517354
           9   0.0369288     0.03468 0.000530774
          10   0.0339244   0.0346044 0.000483044
          11   0.0366932   0.0347943 0.000474991
          12   0.0334604   0.0346831 0.000448226
          13    0.037708   0.0349158  0.00047028
          14   0.0323748   0.0347343 0.000470411
          15   0.0350196   0.0347533 0.000439435
          16   0.0344304   0.0347331 0.000412433
          17   0.0327908   0.0346189 0.000403688
          18   0.0334996   0.0345567 0.000386021
          19    0.035016   0.0345809  0.00036646
          20   0.0323472   0.0344692 0.000364759
