#BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1   0.0423752   0.0423752           0
           2     0.04392   0.0431476 0.000546169
           3   0.0385748   0.0416233  0.00129673
           4   0.0382484   0.0407796  0.00121645
           5   0.0370628   0.0400362  0.00117861
           6   0.0411356   0.0402195 0.000996313
           7   0.0353408   0.0395225  0.00107034
           8   0.0392796   0.0394921 0.000936982
           9   0.0393868   0.0394804 0.000832946
          10   0.0394872   0.0394811 0.000749652
          11   0.0363948   0.0392005 0.000732127
          12   0.0375512   0.0390631 0.000683896
          13   0.0376008   0.0389506 0.000640472
          14   0.0387368   0.0389353 0.000594907
          15   0.0353976   0.0386995 0.000600179
          16   0.0335192   0.0383757 0.000644104
          17   0.0378788   0.0383465 0.000606878
          18   0.0362132    0.038228 0.000584621
          19   0.0386296   0.0382491 0.000554233
          20   0.0366216   0.0381677 0.000532462
