#BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.154355    0.154355           0
           2    0.145723    0.150039  0.00305201
           3    0.148726    0.149601  0.00206582
           4    0.146128    0.148733  0.00172218
           5    0.142063    0.147399  0.00182257
           6    0.147636    0.147439  0.00151924
           7    0.156717    0.148764  0.00178934
           8    0.134584    0.146992  0.00228044
           9    0.138546    0.146053  0.00221173
          10    0.130643    0.144512  0.00246974
          11     0.12557     0.14279  0.00278148
          12    0.133776    0.142039  0.00264919
          13    0.149114    0.142583  0.00250068
          14    0.144426    0.142715  0.00232552
          15    0.144684    0.142846  0.00217419
          16    0.152678     0.14346  0.00212336
          17    0.152836    0.144012  0.00206884
          18    0.148072    0.144238  0.00196616
          19    0.143108    0.144178  0.00186358
          20    0.143571    0.144148  0.00177065
