#BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1   0.0425652   0.0425652           0
           2   0.0489744   0.0457698  0.00226599
           3   0.0498832   0.0471409  0.00188028
           4    0.049562   0.0477462  0.00150448
           5   0.0471392   0.0476248  0.00120847
           6   0.0526364   0.0484601  0.00126315
           7    0.052486   0.0490352  0.00120655
           8   0.0547364   0.0497478  0.00124858
           9    0.050138   0.0497912   0.0011106
          10   0.0463796     0.04945  0.00105064
          11   0.0493112   0.0494374   0.0009552
          12   0.0485932   0.0493671 0.000878187
          13   0.0572492   0.0499734 0.000998234
          14   0.0512204   0.0500625 0.000930897
          15   0.0522544   0.0502086 0.000880232
          16   0.0499508   0.0501925 0.000825365
          17   0.0515316   0.0502712 0.000780564
          18   0.0504392   0.0502806 0.000737255
          19    0.047322   0.0501249 0.000714707
          20   0.0494328   0.0500903 0.000679809
