#BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.613887   -0.613887           0
           2   -0.613244   -0.613566 0.000227406
           3   -0.612715   -0.613282 0.000276681
           4   -0.612551   -0.613099 0.000260968
           5   -0.613684   -0.613216 0.000233502
           6   -0.613281   -0.613227 0.000194832
           7   -0.613834   -0.613314 0.000185313
           8    -0.61273   -0.613241 0.000175915
           9   -0.612217   -0.613127 0.000189632
          10   -0.613534   -0.613168 0.000174988
          11   -0.612712   -0.613126 0.000163914
          12   -0.613187   -0.613131 0.000150332
          13   -0.613678   -0.613174 0.000144536
          14   -0.613777   -0.613217 0.000140488
          15    -0.61382   -0.613257  0.00013676
          16   -0.614128   -0.613311 0.000138627
          17   -0.611796   -0.613222 0.000156528
          18   -0.613044   -0.613212 0.000148144
          19   -0.613578   -0.613232 0.000141595
          20   -0.613071   -0.613224 0.000134742
