#BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     3.02166     3.02166           0
           2     2.99778     3.00972  0.00844366
           3      2.9946     3.00468  0.00697354
           4     2.95411     2.99204   0.0121346
           5     2.98509     2.99065  0.00978697
           6     2.98475     2.98966  0.00820503
           7     3.00065     2.99123  0.00718147
           8     2.98074     2.98992   0.0064024
           9     2.93889     2.98425  0.00780824
          10     2.91885     2.97771  0.00937479
          11     2.95748     2.97587  0.00870113
          12     2.99702     2.97763  0.00815255
          13      2.9874     2.97839  0.00755997
          14     3.00999     2.98064  0.00734924
          15     2.96616     2.97968  0.00692243
          16     2.98242     2.97985  0.00649191
          17     2.97461     2.97954  0.00611735
          18     2.95205     2.97801  0.00596507
          19     2.97511     2.97786  0.00565308
          20     2.97778     2.97786  0.00537043
