#BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.317162    0.317162           0
           2     0.31634    0.316751 0.000290538
           3    0.318664    0.317389  0.00055556
           4    0.320956    0.318281 0.000877566
           5     0.31818     0.31826 0.000702283
           6    0.316247    0.317925 0.000660586
           7    0.316961    0.317787 0.000580392
           8    0.321497    0.318251 0.000667872
           9    0.321997    0.318667 0.000711631
          10    0.318576    0.318658 0.000640526
          11    0.317775    0.318578 0.000587306
          12    0.317526     0.31849 0.000544861
          13    0.316363    0.318326 0.000526933
          14    0.319594    0.318417 0.000497014
          15     0.31928    0.318474 0.000467195
          16    0.319927    0.318565 0.000446728
          17    0.318019    0.318533 0.000421602
          18    0.318179    0.318513 0.000398639
          19    0.320464    0.318616 0.000390653
          20    0.319411    0.318656 0.000373138
