#BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1   0.0449724   0.0449724           0
           2   0.0472272   0.0460998 0.000797192
           3   0.0425244    0.044908  0.00110877
           4   0.0439836   0.0446769 0.000855324
           5   0.0466716   0.0450758 0.000771708
           6   0.0372668   0.0437743  0.00135099
           7   0.0403064   0.0432789  0.00124552
           8   0.0454968   0.0435562  0.00112026
           9   0.0423364   0.0434206  0.00100395
          10   0.0430208   0.0433806  0.00090435
          11   0.0469256   0.0437029 0.000877681
          12    0.039842   0.0433812 0.000861497
          13   0.0466784   0.0436348 0.000831727
          14   0.0407716   0.0434303 0.000797065
          15   0.0439876   0.0434674 0.000744793
          16   0.0417384   0.0433594  0.00070604
          17    0.038848    0.043094 0.000712638
          18    0.042498   0.0430609 0.000673815
          19    0.046698   0.0432523 0.000664987
          20   0.0419032   0.0431849  0.00063515
