#BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.288606    0.288606           0
           2    0.290745    0.289675 0.000756321
           3    0.289606    0.289652  0.00050457
           4    0.290739    0.289924 0.000445661
           5    0.283132    0.288565  0.00126619
           6    0.279999    0.287138  0.00167689
           7    0.279119    0.285992  0.00178624
           8    0.297707    0.287457  0.00207824
           9    0.276333    0.286221  0.00218414
          10    0.294794    0.287078  0.00212737
          11      0.2847    0.286862  0.00194493
          12    0.301485     0.28808  0.00213067
          13    0.286456    0.287955  0.00197043
          14     0.29696    0.288599  0.00193181
          15    0.271051    0.287429  0.00212795
          16    0.299745    0.288199  0.00212963
          17    0.280124    0.287724  0.00205665
          18    0.317602    0.289383  0.00252492
          19    0.280145    0.288897   0.0024384
          20    0.288816    0.288893  0.00231648
