#BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.373636    0.373636           0
           2    0.369244     0.37144  0.00155276
           3    0.368889     0.37059  0.00124643
           4    0.370796    0.370641 0.000935887
           5    0.368648    0.370243 0.000829311
           6    0.370607    0.370303 0.000693309
           7    0.368965    0.370112  0.00062007
           8    0.373842    0.370578  0.00069614
           9    0.370328    0.370551 0.000619349
          10    0.370457    0.370541 0.000557485
          11    0.370009    0.370493 0.000508902
          12     0.37558    0.370917 0.000618371
          13    0.369305    0.370793 0.000583105
          14    0.369907    0.370729 0.000544879
          15    0.371722    0.370796 0.000512556
          16    0.370289    0.370764 0.000481499
          17      0.3738    0.370943 0.000485161
          18    0.373792    0.371101 0.000483344
          19     0.37217    0.371157 0.000461169
          20    0.367131    0.370956 0.000480047
