#BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -0.68223    -0.68223           0
           2   -0.681911   -0.682071 0.000112854
           3   -0.682098    -0.68208 7.56102e-05
           4   -0.682463   -0.682176 0.000100494
           5   -0.681278   -0.681996 0.000179666
           6   -0.682413   -0.682066 0.000162588
           7   -0.682302   -0.682099 0.000142814
           8   -0.682805   -0.682187 0.000149733
           9   -0.680932   -0.682048 0.000187117
          10    -0.68379   -0.682222 0.000235974
          11    -0.68312   -0.682304   0.0002282
          12   -0.683086   -0.682369 0.000218302
          13   -0.683346   -0.682444 0.000214044
          14   -0.681824     -0.6824 0.000203287
          15   -0.682556    -0.68241 0.000190001
          16   -0.682617   -0.682423 0.000178564
          17   -0.682026     -0.6824 0.000169585
          18   -0.682156   -0.682386 0.000160704
          19   -0.682078    -0.68237  0.00015306
          20   -0.681584   -0.682331 0.000150369
