#BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     4.39899     4.39899           0
           2     4.50331     4.45115   0.0368832
           3     4.42675     4.44301     0.02547
           4     4.36037     4.42235   0.0261733
           5     4.41933     4.42175   0.0209457
           6     4.46263     4.42856   0.0185298
           7     4.44848     4.43141   0.0160997
           8     4.42848     4.43104   0.0140914
           9     4.38793     4.42625   0.0133148
          10     4.44601     4.42823   0.0121291
          11     4.41607     4.42712   0.0110767
          12      4.3838     4.42351   0.0107259
          13     4.49663     4.42914   0.0112796
          14     4.39655     4.42681   0.0107114
          15      4.4651     4.42936    0.010297
          16     4.32737     4.42299   0.0114581
          17     4.40494     4.42193   0.0108332
          18     4.43585      4.4227   0.0102589
          19     4.40058     4.42154  0.00978482
          20      4.3432     4.41762    0.010049
