#BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1   0.0372344   0.0372344           0
           2   0.0396856     0.03846  0.00086663
           3   0.0371028   0.0380076 0.000685743
           4   0.0385244   0.0381368 0.000526337
           5    0.036506   0.0378106 0.000512254
           6   0.0342792   0.0372221 0.000686227
           7   0.0397872   0.0375885 0.000679024
           8   0.0398916   0.0378764 0.000652325
           9   0.0402852    0.038144 0.000632371
          10     0.03779   0.0381086 0.000570124
          11   0.0383716   0.0381325 0.000518796
          12   0.0381988   0.0381381 0.000475592
          13    0.037032    0.038053 0.000446554
          14   0.0410264   0.0382654 0.000462414
          15   0.0348428   0.0380372 0.000484622
          16    0.035854   0.0379007 0.000473153
          17    0.035714   0.0377721 0.000462475
          18   0.0362784   0.0376891 0.000444164
          19   0.0349368   0.0375443 0.000443781
          20   0.0355604   0.0374451 0.000432536
