#BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.974611   -0.974611           0
           2   -0.973162   -0.973887 0.000512228
           3   -0.973092   -0.973622 0.000404234
           4   -0.973468   -0.973583 0.000305001
           5   -0.973062   -0.973479 0.000261194
           6   -0.971219   -0.973103  0.00040695
           7   -0.975553   -0.973453 0.000476124
           8   -0.974273   -0.973555 0.000427505
           9   -0.975463   -0.973767 0.000429369
          10   -0.976442   -0.974035 0.000462283
          11   -0.973685   -0.974003  0.00042135
          12   -0.973252    -0.97394 0.000390855
          13   -0.973236   -0.973886 0.000364523
          14   -0.973802    -0.97388 0.000338536
          15   -0.974309   -0.973909 0.000317171
          16   -0.972962   -0.973849  0.00030282
          17   -0.973095   -0.973805 0.000288239
          18   -0.972138   -0.973712 0.000286711
          19    -0.97563   -0.973813 0.000288832
          20   -0.972802   -0.973763 0.000278785
