#BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.329552    0.329552           0
           2    0.332301    0.330926 0.000971734
           3    0.341426    0.334426  0.00293001
           4     0.33354    0.334205  0.00220586
           5    0.334054    0.334174  0.00176489
           6     0.35025    0.336854  0.00285395
           7    0.311635    0.333251  0.00413634
           8    0.324953    0.332214  0.00374708
           9    0.320895    0.330956  0.00353551
          10    0.311452    0.329006  0.00368086
          11    0.339736    0.329981  0.00347308
          12    0.340557    0.330862  0.00329358
          13    0.334498    0.331142  0.00305207
          14     0.33021    0.331076  0.00283479
          15    0.328844    0.330927  0.00264971
          16    0.348479    0.332024  0.00270168
          17    0.340334    0.332513  0.00258659
          18    0.348209    0.333385  0.00258571
          19    0.310849    0.332198  0.00270803
          20    0.345285    0.332853  0.00265049
