#BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     78.8703     78.8703           0
           2      77.739     78.3046    0.399962
           3     78.1114     78.2402    0.271777
           4     78.3381     78.2647     0.20493
           5     77.9787     78.2075     0.17174
           6     76.4176     77.9092    0.307643
           7     80.4876     78.2775    0.431082
           8     79.6113     78.4443    0.408165
           9     80.1841     78.6376    0.406019
          10     81.0791     78.8817    0.432644
          11     78.2596     78.8252    0.396992
          12     78.8133     78.8242     0.36391
          13     78.4047     78.7919    0.337344
          14     78.8287     78.7945    0.313259
          15     79.4073     78.8354    0.295026
          16     78.1859     78.7948    0.279366
          17     77.8642     78.7401    0.268242
          18     77.1924     78.6541    0.266764
          19     80.2189     78.7364    0.265133
          20     77.9778     78.6985    0.254575
