#BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.142806    0.142806           0
           2    0.145836    0.144321  0.00107141
           3    0.149212    0.145951  0.00151064
           4    0.142556    0.145102  0.00135058
           5    0.147332    0.145548  0.00115177
           6    0.155724    0.147244  0.00182152
           7    0.141699    0.146452  0.00172497
           8    0.131744    0.144614  0.00228816
           9    0.135122    0.143559  0.00226393
          10    0.145264    0.143729  0.00204395
          11    0.139413    0.143337  0.00189543
          12    0.146143    0.143571  0.00175184
          13    0.148398    0.143942  0.00165596
          14    0.138376    0.143545  0.00158469
          15    0.143888    0.143567  0.00147921
          16    0.146522    0.143752  0.00139823
          17    0.153648    0.144334  0.00143205
          18     0.14674    0.144468  0.00135871
          19    0.149147    0.144714  0.00130933
          20    0.134411    0.144199  0.00134138
