#BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.230552    0.230552           0
           2    0.229394    0.229973 0.000409338
           3    0.231064    0.230337 0.000403255
           4    0.230493    0.230376 0.000304319
           5    0.231984    0.230698 0.000376885
           6    0.229053    0.230424 0.000401523
           7    0.228948    0.230213 0.000395651
           8    0.230755    0.230281  0.00035196
           9    0.228922     0.23013 0.000343691
          10     0.23119    0.230236 0.000325255
          11    0.231109    0.230315 0.000305219
          12    0.230696    0.230347 0.000281426
          13     0.23221     0.23049 0.000294032
          14    0.229666    0.230431 0.000278862
          15    0.230862     0.23046 0.000261744
          16    0.229457    0.230397 0.000252785
          17    0.229153    0.230324 0.000248281
          18    0.229693    0.230289  0.00023695
          19    0.230152    0.230282 0.000224588
          20    0.229534    0.230244 0.000216447
