#BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     1.70395     1.70395           0
           2     1.67058     1.68727   0.0117971
           3     1.69115     1.68856  0.00793522
           4     1.69146     1.68928  0.00598438
           5     1.68258     1.68794  0.00493567
           6     1.69823     1.68966  0.00440061
           7     1.71155     1.69278  0.00475524
           8     1.65682     1.68829  0.00591606
           9     1.70965     1.69066  0.00571511
          10     1.69892     1.69149  0.00520298
          11     1.68917     1.69128  0.00473425
          12     1.66176     1.68882   0.0049374
          13     1.73232     1.69216  0.00557764
          14     1.70814     1.69331  0.00529463
          15     1.67917     1.69236  0.00502484
          16     1.69983     1.69283  0.00473243
          17     1.68978     1.69265  0.00445746
          18     1.65268     1.69043  0.00473081
          19     1.70859     1.69139  0.00457733
          20     1.67875     1.69075  0.00439184
