#BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.505074   -0.505074           0
           2   -0.504473   -0.504774 0.000212698
           3   -0.504644    -0.50473  0.00014612
           4   -0.504585   -0.504694 0.000114034
           5   -0.504334   -0.504622 0.000111708
           6   -0.505209    -0.50472 0.000128991
           7   -0.505281     -0.5048 0.000133158
           8   -0.503507   -0.504638 0.000190844
           9   -0.506086   -0.504799 0.000227518
          10   -0.503706    -0.50469 0.000229545
          11    -0.50446   -0.504669 0.000209626
          12   -0.504666   -0.504669 0.000192157
          13   -0.505571   -0.504738 0.000189503
          14   -0.504835   -0.504745 0.000176094
          15     -0.5044   -0.504722  0.00016585
          16   -0.504193   -0.504689 0.000158748
          17   -0.504875     -0.5047 0.000149788
          18   -0.504299   -0.504678 0.000143111
          19   -0.505188   -0.504705 0.000138076
          20    -0.50535   -0.504737 0.000134887
