   Gen     Avg_len    Best_len     Best_path
    38     6.23434     6.07226     0 17 30 14 19 20 1 21 22 31 3 6 29 32 18 26 28 4 27 10 23 5 24 12 16 13 2 15 8 7 9 25 33 11 0
    39     6.07002     5.84825     0 17 30 14 19 20 1 21 22 31 3 6 29 32 18 28 26 4 27 10 23 5 24 12 16 13 2 15 8 7 9 25 33 11 0
    40      5.9428     5.84825     0 17 30 14 19 20 1 21 22 31 3 6 29 32 18 28 26 4 27 10 23 5 24 12 16 13 2 15 8 7 9 25 33 11 0
    41     5.84825     5.84825     0 17 30 14 19 20 1 21 22 31 3 6 29 32 18 28 26 4 27 10 23 5 24 12 16 13 2 15 8 7 9 25 33 11 0
    42     5.84825     5.84825     0 17 30 14 19 20 1 21 22 31 3 6 29 32 18 28 26 4 27 10 23 5 24 12 16 13 2 15 8 7 9 25 33 11 0
    43     5.84737     5.76012     0 17 30 19 20 1 21 22 31 3 6 29 32 18 28 26 4 27 10 23 5 24 12 16 13 2 15 8 7 9 25 33 11 14 0
    44     5.83192     5.68588     0 17 30 19 20 1 21 22 31 3 6 29 32 18 28 26 4 27 10 23 5 24 12 16 13 2 15 8 7 9 25 14 33 11 0
    45     5.73576     5.68588     0 17 30 19 20 1 21 22 31 3 6 29 32 18 28 26 4 27 10 23 5 24 12 16 13 2 15 8 7 9 25 14 33 11 0
    46     5.68588     5.68588     0 17 30 19 20 1 21 22 31 3 6 29 32 18 28 26 4 27 10 23 5 24 12 16 13 2 15 8 7 9 25 14 33 11 0
    47     5.68588     5.68588     0 17 30 19 20 1 21 22 31 3 6 29 32 18 28 26 4 27 10 23 5 24 12 16 13 2 15 8 7 9 25 14 33 11 0
    48     5.68588     5.68588     0 17 30 19 20 1 21 22 31 3 6 29 32 18 28 26 4 27 10 23 5 24 12 16 13 2 15 8 7 9 25 14 33 11 0
    49     5.68572     5.66995     0 17 30 19 20 1 21 22 31 3 6 29 32 18 28 26 4 27 10 23 5 24 12 16 13 2 15 8 7 9 25 33 14 11 0
    50     5.67824     5.66995     0 17 30 19 20 1 21 22 31 3 6 29 32 18 28 26 4 27 10 23 5 24 12 16 13 2 15 8 7 9 25 33 14 11 0
    51     5.66995     5.66995     0 17 30 19 20 1 21 22 31 3 6 29 32 18 28 26 4 27 10 23 5 24 12 16 13 2 15 8 7 9 25 33 14 11 0
    52     5.66995     5.66995     0 17 30 19 20 1 21 22 31 3 6 29 32 18 28 26 4 27 10 23 5 24 12 16 13 2 15 8 7 9 25 33 14 11 0
    53     5.66995     5.66995     0 17 30 19 20 1 21 22 31 3 6 29 32 18 28 26 4 27 10 23 5 24 12 16 13 2 15 8 7 9 25 33 14 11 0
    54     5.66984       5.659     0 17 30 19 21 20 1 22 31 3 6 29 32 18 28 26 4 27 10 23 5 24 12 16 13 2 15 8 7 9 25 33 14 11 0
