#BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1   0.0872416   0.0872416           0
           2    0.090426   0.0888338  0.00112586
           3   0.0883052   0.0886576 0.000764234
           4   0.0851316   0.0877761 0.000954626
           5   0.0801216   0.0862452  0.00156785
           6   0.0872844   0.0864184  0.00131608
           7   0.0840768   0.0860839  0.00116981
           8     0.08164   0.0855284  0.00114792
           9   0.0841528   0.0853756  0.00103049
          10   0.0916804    0.086006  0.00110359
          11   0.0906068   0.0864243  0.00107962
          12   0.0896444   0.0866926  0.00102245
          13   0.0898672   0.0869368 0.000972527
          14    0.087504   0.0869773 0.000903904
          15   0.0866636   0.0869564 0.000843886
          16   0.0941196   0.0874041 0.000902117
          17   0.0871556   0.0873895 0.000849169
          18   0.0773888   0.0868339 0.000966814
          19   0.0864624   0.0868144 0.000916127
          20   0.0835596   0.0866516 0.000884657
