#BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.528834   -0.528834           0
           2   -0.529346    -0.52909 0.000181302
           3   -0.528687   -0.528956 0.000163179
           4   -0.529093    -0.52899 0.000125931
           5   -0.527302   -0.528652 0.000318254
           6   -0.528604   -0.528644 0.000265314
           7   -0.529342   -0.528744 0.000245436
           8   -0.527973   -0.528648 0.000232925
           9   -0.529122     -0.5287 0.000212932
          10    -0.52837   -0.528667  0.00019418
          11   -0.528852   -0.528684 0.000177251
          12   -0.527542   -0.528589 0.000186277
          13   -0.528694   -0.528597 0.000172121
          14   -0.528949   -0.528622  0.00016165
          15   -0.529128   -0.528656  0.00015435
          16   -0.528442   -0.528643 0.000145279
          17   -0.530283   -0.528739 0.000165715
          18     -0.5289   -0.528748 0.000156749
          19   -0.529213   -0.528773 0.000150396
          20   -0.528472   -0.528757 0.000143625
