#BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1      1.8738      1.8738           0
           2     1.91993     1.89687   0.0163102
           3      1.8885     1.89408   0.0111094
           4     1.93089     1.90328   0.0115298
           5     1.89103     1.90083  0.00948063
           6     1.90856     1.90212  0.00798765
           7     1.92174     1.90492  0.00732201
           8     1.88656     1.90263  0.00675673
           9     1.89388     1.90165  0.00607547
          10     1.90001     1.90149  0.00547015
          11     1.90097     1.90144  0.00497307
          12     1.90388     1.90164  0.00456279
          13     1.91384     1.90258  0.00430714
          14     1.92516      1.9042  0.00429083
          15     1.91974     1.90523  0.00412797
          16      1.9199     1.90615  0.00397048
          17      1.8969      1.9056  0.00377399
          18     1.87492      1.9039  0.00393049
          19     1.89914     1.90365  0.00373159
          20     1.90163     1.90355  0.00354638
