#BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.250624    0.250624           0
           2    0.249879    0.250252 0.000263334
           3    0.251115    0.250539 0.000293241
           4    0.248803    0.250105 0.000435524
           5    0.247338    0.249552 0.000605381
           6    0.248847    0.249434 0.000515737
           7    0.248504    0.249301  0.00045886
           8    0.248361    0.249184 0.000416294
           9    0.250859     0.24937 0.000409527
          10    0.250014    0.249434 0.000373612
          11     0.24819    0.249321 0.000356359
          12    0.249198    0.249311  0.00032681
          13    0.248956    0.249284 0.000302812
          14    0.248892    0.249256  0.00028247
          15    0.251558    0.249409 0.000302472
          16     0.24742    0.249285 0.000308055
          17    0.248216    0.249222 0.000296285
          18    0.249852    0.249257 0.000281883
          19    0.250807    0.249339 0.000278599
          20    0.248969     0.24932 0.000265279
