#BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.890628   -0.890628           0
           2   -0.891258   -0.890943  0.00022288
           3   -0.889768   -0.890551 0.000352677
           4   -0.892176   -0.890958 0.000440083
           5   -0.892229   -0.891212 0.000419119
           6   -0.893693   -0.891625 0.000514264
           7   -0.890795   -0.891507 0.000454266
           8    -0.89215   -0.891587 0.000404545
           9   -0.892494   -0.891688  0.00037192
          10   -0.890814   -0.891601 0.000344833
          11   -0.892312   -0.891665 0.000319493
          12   -0.891847    -0.89168 0.000293228
          13   -0.890874   -0.891618 0.000277149
          14   -0.892282   -0.891666 0.000261379
          15   -0.893014   -0.891756 0.000258938
          16   -0.892838   -0.891823 0.000251428
          17   -0.894319    -0.89197 0.000276198
          18    -0.89494   -0.892135 0.000306194
          19   -0.893115   -0.892187 0.000294392
          20   -0.892602   -0.892207 0.000280402
