#BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     24.4233     24.4233           0
           2     24.1176     24.2704    0.108109
           3     23.5693     24.0367    0.203987
           4     24.1861     24.0741     0.15637
           5       25.06     24.2712    0.216226
           6     25.0757     24.4053    0.217829
           7      24.032      24.352    0.193129
           8     24.7702     24.4043     0.17592
           9     25.0891     24.4804    0.172043
          10     23.9077     24.4231    0.164091
          11     24.5753     24.4369    0.149756
          12     25.2853     24.5076    0.153057
          13     24.0408     24.4717    0.145435
          14     24.8225     24.4968    0.137188
          15      25.056     24.5341    0.133011
          16     25.1672     24.5736    0.130452
          17     26.4215     24.6823    0.161848
          18     26.4789     24.7821    0.181035
          19     24.9048     24.7886    0.171622
          20      24.353     24.7668    0.164417
