#BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.434685    0.434685           0
           2    0.427099    0.430892    0.002682
           3     0.43142    0.431068  0.00179377
           4    0.421522    0.428681  0.00246606
           5    0.429593    0.428864  0.00197957
           6    0.432277    0.429432  0.00172947
           7    0.423191    0.428541  0.00169675
           8    0.431473    0.428907  0.00152372
           9    0.431132    0.429154  0.00137432
          10    0.435426    0.429782  0.00137255
          11    0.436268    0.430371  0.00136858
          12     0.44333    0.431451  0.00162569
          13    0.435385    0.431754  0.00152854
          14    0.428479     0.43152  0.00143714
          15    0.440188    0.432098  0.00145288
          16    0.430818    0.432018  0.00136428
          17    0.443012    0.432665  0.00142912
          18    0.447885     0.43351  0.00158022
          19    0.440479    0.433877  0.00153903
          20    0.419923    0.433179  0.00161248
