#BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1   0.0887392   0.0887392           0
           2   0.0927468    0.090743   0.0014169
           3   0.0827412   0.0880757  0.00237385
           4   0.0874936   0.0879302  0.00178484
           5   0.0914616   0.0886365  0.00156137
           6   0.0855164   0.0881165  0.00138503
           7   0.0827192   0.0873454  0.00138526
           8   0.0821876   0.0867007  0.00135385
           9     0.08097    0.086064  0.00134485
          10   0.0914388   0.0866014  0.00131339
          11    0.088054   0.0867335  0.00120061
          12   0.0830572   0.0864271  0.00113897
          13   0.0795828   0.0859006  0.00116671
          14   0.0918152   0.0863231  0.00115734
          15   0.0859744   0.0862999  0.00108042
          16   0.0930932   0.0867244  0.00109314
          17   0.0819884   0.0864459  0.00106375
          18   0.0825808   0.0862311  0.00102609
          19   0.0899032   0.0864244 0.000990121
          20     0.08922   0.0865642  0.00095043
