#BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1   0.0346016   0.0346016           0
           2   0.0352136   0.0349076 0.000216375
           3    0.033972   0.0345957 0.000292658
           4   0.0344748   0.0345655 0.000221049
           5    0.032108    0.034074 0.000473846
           6   0.0344392   0.0341349 0.000398762
           7   0.0328692   0.0339541 0.000380587
           8   0.0321404   0.0337273 0.000394803
           9    0.036256   0.0340083 0.000439687
          10   0.0384984   0.0344573 0.000581413
          11   0.0353068   0.0345345 0.000533661
          12   0.0358488   0.0346441 0.000500301
          13    0.035712   0.0347262 0.000468512
          14   0.0340736   0.0346796  0.00043736
          15   0.0330988   0.0345742 0.000420708
          16   0.0310832    0.034356  0.00044743
          17   0.0329128   0.0342711 0.000429089
          18   0.0333244   0.0342185 0.000408461
          19   0.0316668   0.0340842 0.000408446
          20   0.0349516   0.0341276 0.000390319
