#BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     3.65787     3.65787           0
           2     3.55771     3.60779   0.0354113
           3     3.58119     3.59892   0.0246928
           4     3.66411     3.61522   0.0232837
           5     3.61854     3.61588   0.0186364
           6     3.55568     3.60585   0.0180304
           7     3.68126     3.61662   0.0183932
           8     3.52909     3.60568   0.0190726
           9      3.6134     3.60654   0.0169727
          10     3.50509     3.59639   0.0180543
          11     3.54318     3.59156   0.0170488
          12     3.59123     3.59153   0.0156281
          13     3.55569     3.58877   0.0146671
          14     3.60843     3.59018   0.0136865
          15     3.58535     3.58986   0.0127779
          16     3.58755     3.58971   0.0119801
          17     3.53575     3.58654   0.0116883
          18     3.54907     3.58446   0.0112228
          19      3.5978     3.58516   0.0106541
          20     3.63355     3.58758   0.0103925
