#BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.341434    0.341434           0
           2    0.342839    0.342136 0.000496979
           3    0.345949    0.343407  0.00108928
           4    0.344762    0.343746 0.000868019
           5    0.346946    0.344386 0.000899913
           6    0.345934    0.344644 0.000786068
           7    0.342191    0.344294 0.000747803
           8    0.345131    0.344398 0.000661614
           9    0.345278    0.344496 0.000595277
          10    0.344476    0.344494 0.000535753
          11    0.343056    0.344363  0.00050274
          12    0.344622    0.344385 0.000461307
          13     0.34134    0.344151  0.00048164
          14    0.347128    0.344363 0.000491963
          15    0.344393    0.344365  0.00045917
          16    0.341786    0.344204 0.000457891
          17    0.344699    0.344233  0.00043188
          18     0.34306    0.344168 0.000412776
          19    0.342785    0.344095 0.000397415
          20    0.346904    0.344236 0.000401591
