#BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.648121   -0.648121           0
           2   -0.647129   -0.647625 0.000350725
           3   -0.647181   -0.647477 0.000263197
           4   -0.646715   -0.647286 0.000257206
           5   -0.645897   -0.647008 0.000322693
           6   -0.646255   -0.646883 0.000292315
           7   -0.646167   -0.646781 0.000267842
           8   -0.646143   -0.646701  0.00024593
           9   -0.647262   -0.646763 0.000226377
          10   -0.645996   -0.646687 0.000216355
          11   -0.646506    -0.64667 0.000197306
          12   -0.646158   -0.646628 0.000185417
          13   -0.645846   -0.646568  0.00018063
          14    -0.64616   -0.646538 0.000170057
          15   -0.646418    -0.64653 0.000158908
          16    -0.64627   -0.646514 0.000149809
          17    -0.64702   -0.646544 0.000143923
          18   -0.645699   -0.646497 0.000143373
          19   -0.648034   -0.646578  0.00015701
          20   -0.645973   -0.646548 0.000152046
