#BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.646298   -0.646298           0
           2   -0.646474   -0.646386 6.19426e-05
           3   -0.645526   -0.646099  0.00023757
           4   -0.645974   -0.646068 0.000180223
           5   -0.645689   -0.645992 0.000159354
           6    -0.64689   -0.646142 0.000190538
           7   -0.645947   -0.646114 0.000165338
           8   -0.645891   -0.646086 0.000147001
           9    -0.64693    -0.64618 0.000157775
          10   -0.645866   -0.646149 0.000145082
          11   -0.646202   -0.646154 0.000131973
          12   -0.647503   -0.646266  0.00016196
          13   -0.646838    -0.64631 0.000155355
          14   -0.647632   -0.646404  0.00017056
          15   -0.646619   -0.646419 0.000159789
          16   -0.645884   -0.646385 0.000153257
          17    -0.64612    -0.64637 0.000145035
          18   -0.646834   -0.646395 0.000139248
          19   -0.645925   -0.646371 0.000134105
          20   -0.647229   -0.646414 0.000134087
