#BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     3.64115     3.64115           0
           2     3.69362     3.66739    0.018551
           3     3.52238     3.61905   0.0413582
           4     3.59131     3.61211   0.0315948
           5     3.58127     3.60594   0.0258712
           6     3.65512     3.61414   0.0228206
           7     3.58092     3.60939   0.0200479
           8     3.58702      3.6066    0.017736
           9     3.62204     3.60831   0.0158481
          10     3.54658     3.60214   0.0154187
          11     3.58905     3.60095   0.0140628
          12     3.56515     3.59797   0.0132036
          13     3.59189      3.5975   0.0121962
          14     3.59303     3.59718   0.0113292
          15      3.6043     3.59765   0.0105839
          16     3.53818     3.59394   0.0105551
          17     3.60246     3.59444  0.00994607
          18     3.55267     3.59212  0.00966043
          19     3.60876     3.59299   0.0091916
          20     3.61866     3.59428  0.00882114
