#BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.582018   -0.582018           0
           2   -0.582011   -0.582014 2.26274e-06
           3   -0.581893   -0.581974 3.31297e-05
           4   -0.583374   -0.582324 0.000304241
           5   -0.582726   -0.582404 0.000253773
           6   -0.582274   -0.582383 0.000212411
           7   -0.582779   -0.582439 0.000189475
           8   -0.582186   -0.582408 0.000168405
           9   -0.583045   -0.582478 0.000163902
          10   -0.582041   -0.582435 0.000153242
          11   -0.582249   -0.582418 0.000140239
          12    -0.58325   -0.582487 0.000144704
          13   -0.582757   -0.582508 0.000135051
          14   -0.583175   -0.582556 0.000133552
          15   -0.581653   -0.582495 0.000137542
          16   -0.582564     -0.5825 0.000129012
          17   -0.582924   -0.582525 0.000123815
          18    -0.58235   -0.582515 0.000117317
          19   -0.582137   -0.582495 0.000112818
          20    -0.58281   -0.582511 0.000108268
