#BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     2.52599     2.52599           0
           2     2.53776     2.53187  0.00416194
           3     2.53503     2.53292  0.00290435
           4     2.54809     2.53672  0.00394139
           5     2.53072     2.53552  0.00333068
           6     2.52818     2.53429  0.00299177
           7     2.49838     2.52916  0.00539763
           8     2.51714     2.52766  0.00492771
           9     2.51089      2.5258  0.00471921
          10      2.5197     2.52519  0.00428649
          11      2.4991     2.52282  0.00450526
          12     2.57495     2.52716  0.00586163
          13     2.48347      2.5238  0.00630116
          14     2.52491     2.52388  0.00585157
          15     2.50386     2.52254  0.00561161
          16     2.54848     2.52416     0.00549
          17     2.55838     2.52618  0.00552372
          18     2.55403     2.52773  0.00542931
          19     2.52929     2.52781  0.00514418
          20      2.5174     2.52729   0.0049132
