#BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.294712    0.294712           0
           2    0.295631    0.295172 0.000325032
           3    0.292911    0.294418 0.000652333
           4     0.29032    0.293394  0.00101326
           5    0.292205    0.293156 0.000838042
           6    0.294469    0.293375 0.000726371
           7     0.29324    0.293355 0.000622859
           8     0.29476    0.293531 0.000569197
           9     0.29409    0.293593 0.000509334
          10    0.294607    0.293694 0.000468382
          11    0.292585    0.293593 0.000436534
          12    0.294527    0.293671 0.000407031
          13    0.291658    0.293516 0.000404103
          14    0.295236    0.293639 0.000393466
          15    0.292899     0.29359 0.000370321
          16    0.295647    0.293718 0.000368819
          17    0.293542    0.293708 0.000347269
          18    0.295318    0.293798 0.000339294
          19    0.291742    0.293689 0.000338243
          20    0.295209    0.293765 0.000329752
