#BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1     0.42091     0.42091           0
           2    0.418153    0.419531 0.000974805
           3     0.41816    0.419074 0.000749477
           4     0.41307    0.417573  0.00141625
           5    0.417713    0.417601  0.00113328
           6    0.418251     0.41771 0.000949563
           7    0.418491    0.417821 0.000820442
           8    0.425216    0.418745  0.00112381
           9    0.422893    0.419206  0.00108933
          10    0.415773    0.418863  0.00103308
          11     0.43115     0.41998  0.00141994
          12    0.429816      0.4208   0.0015199
          13    0.414381    0.420306  0.00148101
          14     0.42035    0.420309  0.00137523
          15    0.425635    0.420664  0.00132859
          16    0.423019    0.420811  0.00125368
          17    0.418204    0.420658  0.00118928
          18    0.416448    0.420424  0.00114598
          19    0.419369    0.420369  0.00108701
          20    0.421426    0.420421  0.00103394
