#BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.761746   -0.761746           0
           2    -0.75932   -0.760533 0.000857579
           3   -0.761076   -0.760714 0.000590525
           4   -0.761061   -0.760801 0.000449218
           5   -0.761887   -0.761018 0.000408574
           6   -0.762138   -0.761205 0.000380772
           7    -0.76169   -0.761274 0.000332639
           8   -0.760982   -0.761238 0.000293061
           9   -0.760056   -0.761106 0.000288407
          10   -0.762554   -0.761251 0.000293683
          11   -0.760903   -0.761219 0.000268681
          12   -0.761057   -0.761206 0.000246633
          13   -0.763056   -0.761348 0.000265567
          14   -0.761745   -0.761377 0.000248104
          15   -0.760568   -0.761323 0.000237347
          16   -0.761442    -0.76133 0.000222629
          17   -0.760992    -0.76131  0.00021042
          18   -0.762346   -0.761368 0.000206443
          19   -0.761366   -0.761368 0.000195577
          20   -0.762509   -0.761425 0.000193943
