#BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     7.32534     7.32534           0
           2     7.09285     7.20909   0.0821986
           3     7.47582       7.298   0.0909547
           4       7.064      7.2395   0.0849714
           5     7.44618     7.28084   0.0773805
           6     7.49473     7.31649     0.07223
           7     7.46932     7.33832   0.0651278
           8      7.5164     7.36058   0.0606717
           9     7.42218     7.36742    0.054315
          10     7.48765     7.37944   0.0501964
          11      7.5267     7.39283   0.0473846
          12     7.37004     7.39093   0.0434739
          13     7.42632     7.39366   0.0402149
          14     7.54646     7.40457   0.0387952
          15     7.45556     7.40797   0.0363575
          16     7.28359      7.4002   0.0349064
          17     7.50418     7.40631   0.0333847
          18     7.58994     7.41651   0.0330519
          19     7.48707     7.42023   0.0315203
          20     7.38665     7.41855    0.029989
