#BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.112202    0.112202           0
           2    0.109775    0.110988 0.000858145
           3    0.115143    0.112373  0.00126728
           4    0.116227    0.113337  0.00126468
           5    0.118615    0.114392  0.00138392
           6    0.117339    0.114883  0.00123733
           7    0.111688    0.114427  0.00114165
           8    0.111118    0.114013  0.00107124
           9    0.117189    0.114366  0.00100866
          10    0.102494    0.113179   0.0014466
          11    0.108411    0.112746  0.00137851
          12    0.102823    0.111919  0.00149116
          13     0.10089     0.11107  0.00159967
          14    0.116388     0.11145  0.00152983
          15   0.0974284    0.110515  0.00168946
          16    0.116946    0.110917  0.00163098
          17    0.127306    0.111881  0.00179751
          18    0.105355    0.111519  0.00173383
          19    0.114353    0.111668  0.00164898
          20    0.118808    0.112025  0.00160471
