#BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     5.65353     5.65353           0
           2     5.50789     5.58071   0.0514923
           3     5.53966     5.56703   0.0361005
           4      5.4946     5.54892   0.0312885
           5     5.61534     5.56221   0.0277073
           6     5.65644     5.57791   0.0271783
           7     5.55992     5.57534   0.0234169
           8      5.7156     5.59287    0.026245
           9     5.62893     5.59688   0.0236328
          10      5.7419     5.61138    0.025331
          11     5.54651     5.60548   0.0237047
          12     5.67069     5.61092   0.0223434
          13     5.59807     5.60993   0.0206465
          14     5.57332     5.60731   0.0193367
          15     5.52499     5.60183   0.0188103
          16      5.7365     5.61024   0.0194268
          17     5.62578     5.61116   0.0183055
          18     5.42409     5.60076   0.0200226
          19     5.66615     5.60421   0.0192623
          20     5.54372     5.60118    0.018535
