#BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.720756   -0.720756           0
           2   -0.718597   -0.719676 0.000763392
           3   -0.720494   -0.719949 0.000555493
           4   -0.719578   -0.719856 0.000424312
           5   -0.721444   -0.720174 0.000442607
           6   -0.720631    -0.72025 0.000375348
           7   -0.719641   -0.720163 0.000331663
           8   -0.721879   -0.720377  0.00035283
           9   -0.720416   -0.720382 0.000313652
          10   -0.720025   -0.720346 0.000284311
          11   -0.719921   -0.720307  0.00026108
          12   -0.719909   -0.720274 0.000241427
          13   -0.720002   -0.720253 0.000223765
          14   -0.721099   -0.720314 0.000215786
          15   -0.720692   -0.720339 0.000202869
          16   -0.720414   -0.720344 0.000190244
          17   -0.720718   -0.720366 0.000180326
          18   -0.720094   -0.720351 0.000170936
          19   -0.721028   -0.720386 0.000165617
          20   -0.720242   -0.720379 0.000157492
