#BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1     0.29181     0.29181           0
           2    0.296514    0.294162  0.00166328
           3    0.292809    0.293711  0.00116839
           4    0.292731    0.293466  0.00090163
           5    0.293769    0.293527 0.000723338
           6     0.29281    0.293407  0.00061256
           7    0.297592    0.294005 0.000762856
           8    0.293071    0.293888 0.000676371
           9    0.294988    0.294011 0.000612153
          10    0.293621    0.293972 0.000552174
          11    0.290001    0.293611 0.000608633
          12    0.292853    0.293548 0.000561177
          13    0.295252    0.293679 0.000533097
          14    0.292487    0.293594 0.000501771
          15    0.292966    0.293552 0.000470062
          16    0.291822    0.293444 0.000452948
          17    0.291992    0.293358 0.000434276
          18    0.293054    0.293341 0.000410479
          19    0.292519    0.293298  0.00039115
          20     0.29126    0.293196 0.000384637
