#BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1      2.5051      2.5051           0
           2     2.57317     2.53913   0.0240661
           3     2.51311     2.53046   0.0175375
           4     2.53483     2.53155   0.0131871
           5     2.54664     2.53457   0.0108893
           6     2.53245     2.53422  0.00908014
           7     2.54137     2.53524  0.00784029
           8     2.54275     2.53618  0.00691621
           9     2.56049     2.53888  0.00665428
          10     2.53982     2.53897  0.00598952
          11      2.4885     2.53438  0.00698507
          12     2.57695     2.53793  0.00724806
          13     2.48351     2.53375  0.00780633
          14     2.55723     2.53542  0.00742683
          15      2.5443     2.53602  0.00695526
          16     2.56958     2.53811  0.00682962
          17     2.49585     2.53563  0.00686552
          18     2.55706     2.53682  0.00658656
          19     2.53775     2.53687  0.00624008
          20     2.52918     2.53648  0.00593991
