#BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.583825   -0.583825           0
           2   -0.581811   -0.582818 0.000711915
           3   -0.581678   -0.582438 0.000567088
           4   -0.583569   -0.582721 0.000490762
           5   -0.583337   -0.582844  0.00040779
           6    -0.58257   -0.582798 0.000342362
           7   -0.581856   -0.582664  0.00031882
           8    -0.58209   -0.582592 0.000286929
           9   -0.582512   -0.582583 0.000255185
          10   -0.583487   -0.582673 0.000245162
          11   -0.582407   -0.582649 0.000224067
          12   -0.583782   -0.582744 0.000224412
          13   -0.583282   -0.582785  0.00021093
          14   -0.583669   -0.582848 0.000205092
          15   -0.582523   -0.582827  0.00019256
          16   -0.583554   -0.582872 0.000185822
          17   -0.582117   -0.582828 0.000180123
          18   -0.582733   -0.582822 0.000170193
          19   -0.583654   -0.582866 0.000166775
          20   -0.582337    -0.58284 0.000160522
