#BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     1.51005     1.51005           0
           2      1.4966     1.50333  0.00475399
           3     1.48647     1.49771  0.00557522
           4     1.50133     1.49861  0.00425416
           5     1.50389     1.49967   0.0035316
           6     1.49835     1.49945  0.00294986
           7     1.50091     1.49966  0.00253582
           8     1.49207     1.49871  0.00238937
           9       1.511     1.50007   0.0024838
          10     1.49705     1.49977   0.0022538
          11     1.51677     1.50132  0.00252381
          12     1.53181     1.50386  0.00335747
          13     1.50048      1.5036  0.00310927
          14     1.51138     1.50415   0.0029364
          15     1.53287     1.50607  0.00330615
          16      1.5172     1.50676  0.00317186
          17     1.49693     1.50619  0.00303752
          18     1.48907     1.50523  0.00301385
          19      1.5174     1.50587  0.00292245
          20     1.50127     1.50564  0.00278539
