#BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.212619    0.212619           0
           2    0.211092    0.211855 0.000539587
           3    0.212773    0.212161  0.00043785
           4    0.211556     0.21201 0.000353568
           5    0.211536    0.211915 0.000295285
           6    0.212184     0.21196 0.000249443
           7     0.21134    0.211871 0.000229002
           8    0.213144     0.21203   0.0002496
           9    0.212643    0.212098 0.000230961
          10    0.213771    0.212266 0.000261491
          11    0.213152    0.212346  0.00024983
          12    0.213159    0.212414 0.000238006
          13    0.210658    0.212279 0.000255179
          14    0.212754    0.212313 0.000239195
          15    0.212695    0.212338 0.000224598
          16     0.21196    0.212315 0.000211798
          17     0.21183    0.212286 0.000201249
          18    0.212857    0.212318 0.000192556
          19     0.21203    0.212303 0.000183018
          20    0.210832    0.212229 0.000188055
