#BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1   0.0372252   0.0372252           0
           2   0.0383652   0.0377952 0.000403051
           3    0.043254   0.0396148   0.0015098
           4   0.0455724   0.0411042  0.00171638
           5   0.0480836   0.0425001  0.00185585
           6   0.0441924   0.0427821  0.00156783
           7   0.0441144   0.0429725  0.00135536
           8   0.0448036   0.0432013  0.00120511
           9   0.0429176   0.0431698  0.00107162
          10   0.0478516    0.043638  0.00106182
          11    0.042682   0.0435511 0.000968838
          12   0.0417132   0.0433979 0.000900126
          13   0.0390336   0.0430622 0.000891296
          14   0.0436792   0.0431063  0.00082872
          15   0.0448888   0.0432251 0.000781946
          16   0.0436464   0.0432514 0.000733518
          17    0.051252   0.0437221 0.000827687
          18   0.0382104   0.0434159 0.000836429
          19     0.04033   0.0432535 0.000808021
          20   0.0411788   0.0431497  0.00077425
