#BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.311816    0.311816           0
           2     0.27209    0.291953   0.0140451
           3    0.305448    0.296451    0.010058
           4    0.279246     0.29215  0.00841304
           5    0.304235    0.294567  0.00706912
           6    0.309629    0.297077  0.00632096
           7    0.306543     0.29843  0.00556073
           8    0.309898    0.299863  0.00504704
           9    0.305271    0.300464  0.00452189
          10    0.296105    0.300028  0.00409065
          11    0.286805    0.298826   0.0038914
          12    0.293664    0.298396  0.00359082
          13    0.284415     0.29732  0.00347191
          14    0.326549    0.299408  0.00380015
          15    0.279271    0.298066  0.00377649
          16    0.310204    0.298824  0.00361586
          17    0.308147    0.299373   0.0034445
          18    0.282752    0.298449  0.00337463
          19    0.284762    0.297729  0.00327301
          20    0.243538    0.295019  0.00407954
