#BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.435762    0.435762           0
           2    0.451421    0.443592  0.00553622
           3    0.473773    0.453652  0.00900541
           4    0.457025    0.454495  0.00679341
           5    0.462392    0.456075  0.00561531
           6    0.443878    0.454042  0.00503396
           7    0.414248    0.448357   0.0068058
           8    0.453229    0.448966  0.00598226
           9    0.456236    0.449774  0.00537182
          10    0.439458    0.448742   0.0049327
          11    0.417743    0.445924  0.00522765
          12    0.429166    0.444528  0.00497505
          13    0.427226    0.443197  0.00476706
          14    0.464532    0.444721   0.0046638
          15    0.394696    0.441386  0.00541553
          16    0.454191    0.442186  0.00513585
          17    0.468783     0.44375  0.00506645
          18    0.416309    0.442226   0.0050091
          19    0.440729    0.442147  0.00474609
          20    0.423496    0.441215  0.00459949
